weekend_of,movie_title,day_of_week,gross_m,source,status,as_of_date,notes
2026-05-15,Obsession,Thursday,2.6,manual user report,reported,2026-05-15,Thursday previews
2026-05-15,Obsession,Friday,4.0,derived from reported Friday incl previews,reported,2026-05-16,Reported Friday incl Thursday previews 6.6M minus Thursday previews 2.6M
2026-05-22,The Mandalorian and Grogu,Thursday,12.0,manual user report,reported,2026-05-22,Thursday previews
2026-05-29,Backrooms,Thursday,10.4,Deadline/Variety report,reported,2026-05-30,Reported Thursday previews
2026-05-29,Backrooms,Friday,28.0,derived from reported Friday incl previews,reported,2026-05-30,Reported opening day 38.4M including previews minus 10.4M previews
2026-05-29,Backrooms,Saturday,24.7,Variety/Deadline/RT report,reported,2026-06-09,Reported Saturday gross
2026-05-29,Backrooms,Sunday,18.3,Variety/Deadline/RT report,reported,2026-06-09,Reported Sunday gross; 3-day Fri-Sun total $81.4M
2026-06-19,Toy Story 5,Thursday,17.5,user report,reported,2026-06-22,Thursday previews (user-reported)
2026-06-19,Toy Story 5,Friday,31.6,derived from captured AMC seat proportions,reported,2026-06-22,Fri/Sat/Sun split derived from AMC seat-occupancy proportions scaled to ~160M all-in opening (incl previews)
2026-06-19,Toy Story 5,Saturday,58.2,derived from captured AMC seat proportions,reported,2026-06-22,Saturday derived; family matinee peak
2026-06-19,Toy Story 5,Sunday,52.7,derived from captured AMC seat proportions,reported,2026-06-22,Sunday derived; ~160M all-in opening total
2026-08-28,Coyote vs. Acme,Saturday,5.81,The Numbers auto-fetch,reported,2026-08-31,auto-fetched daily gross (revisions re-append)
2026-08-28,Coyote vs. Acme,Sunday,4.802,The Numbers auto-fetch,reported,2026-08-31,auto-fetched daily gross (revisions re-append)
2026-08-28,The Dog Stars,Saturday,2.8,The Numbers auto-fetch,reported,2026-08-31,auto-fetched daily gross (revisions re-append)
2026-08-28,The Dog Stars,Sunday,2.2,The Numbers auto-fetch,reported,2026-08-31,auto-fetched daily gross (revisions re-append)
