movie,release_year,genre,audience_type,franchise_type,rating,thursday_preview_m,opening_weekend_m,friday_m,saturday_m,sunday_m,source_url,daily_source_url,notes,daily_notes,imdb_rating,imdb_votes,imdb_url,rt_audience_score,rt_audience_score_type,rt_critic_score,rt_url,social_media_universe_m,social_sentiment_score,social_source_url,social_notes,social_buzz_score,national_theatre_count,wiki_release_week_views,wiki_article,wiki_opening_friday
A Quiet Place Part II,2021,horror,broad_adult,franchise,PG-13,4.8,47.548,19.368427,15.137669,13.041135,https://www.boxofficepro.com/early-weekend-estimates-a-quiet-place-day-one-posts-franchise-high-previews/,https://www.boxofficemojo.com/release/rl2819065345,Post-COVID franchise horror preview comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.2,322291,https://www.imdb.com/title/tt8332922/,92,VERIFIED,91,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,115.600,,https://www.relishmix.com/news/a-quiet-place-part-ii-steals-box-office-rhythm-away-from-in-the-heights,RelishMix public social metrics matched from ‘A Quiet Place Part II’ Steals Box Office Rhythm Away From ‘In The Heights’,,3744,231092,A Quiet Place Part II,2021-05-28
F9: The Fast Saga,2021,action,fan_driven,franchise,PG-13,7.1,70.043,29.85875,22.348525,17.83589,https://en.wikipedia.org/wiki/F9_%28film%29,https://www.boxofficemojo.com/release/rl192906753,Post-COVID franchise action comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.2,179913,https://www.imdb.com/title/tt5433138/,82,VERIFIED,59,https://www.rottentomatoes.com/m/f9,,,,,,4203,300811,F9 (film),2021-06-25
Black Widow,2021,superhero,fan_driven,franchise,PG-13,13.2,80.366,39.510446,23.305929,17.549937,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl2122089985,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.6,476662,https://www.imdb.com/title/tt3480822/,91,VERIFIED,79,https://www.rottentomatoes.com/m/black_widow_2021,496.200,,https://www.relishmix.com/news/black-widow-spins-395m-friday-pandemic-opening-record-now-at-89m-all-pics-at-weekend-bo-headed-to-125m-high,"RelishMix public social metrics matched from ‘Black Widow’ Spins $39.5M Friday, Pandemic Opening Record Now At $89M+; All Pics At Weekend B.O. Headed To $125M+ High",,4275,654802,Black Widow (2021 film),2021-07-09
The Suicide Squad,2021,superhero,fan_driven,franchise,R,4.1,26.205,12.1,8.21,5.94,https://en.wikipedia.org/wiki/The_Suicide_Squad_%28film%29,https://www.boxofficemojo.com/release/rl84510209,Post-COVID day-and-date superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.2,457799,https://www.imdb.com/title/tt6334354/,82,VERIFIED,90,https://www.rottentomatoes.com/m/the_suicide_squad,,,,,,4019,594350,The Suicide Squad (film),2021-08-06
Shang-Chi and the Legend of the Ten Rings,2021,superhero,fan_driven,franchise,PG-13,8.8,75.389,29.502259,23.190043,22.696386,https://en.wikipedia.org/wiki/Shang-Chi_and_the_Legend_of_the_Ten_Rings,https://www.boxofficemojo.com/release/rl3490022913,Post-COVID theatrical-only superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.3,487542,https://www.imdb.com/title/tt9376612/,98,VERIFIED,92,https://www.rottentomatoes.com/m/shang_chi_and_the_legend_of_the_ten_rings,,,,,,4300,478795,Shang-Chi and the Legend of the Ten Rings,2021-09-03
Venom: Let There be Carnage,2021,superhero,fan_driven,franchise,PG-13,11.6,90.033,37.417184,31.630397,20.985629,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl1908310529,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.9,303469,https://www.imdb.com/title/tt7097896/,83,VERIFIED,58,https://www.rottentomatoes.com/m/venom_let_there_be_carnage,754.600,,https://www.relishmix.com/news/venom-let-there-be-carnage-gobbling-up-71m-weekend-second-best-friday-during-pandemic-with-37m,"RelishMix public social metrics matched from ‘Venom: Let There Be Carnage’ Gobbling Up $71M+ Weekend, Second Best Friday During Pandemic With $37M+",,4225,459557,Venom: Let There Be Carnage,2021-10-01
No Time to Die,2021,action,broad_adult,franchise,PG-13,6.3,55.225,23.310401,18.154289,13.760317,https://en.wikipedia.org/wiki/No_Time_to_Die,https://www.boxofficemojo.com/release/rl4077159937,Post-COVID adult-skewing action franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.3,487238,https://www.imdb.com/title/tt2382320/,88,VERIFIED,83,https://www.rottentomatoes.com/m/no_time_to_die_2021,,,,,,4407,853,No Time to Die (1958 film),2021-10-01
Halloween Kills,2021,horror,horror_fan,franchise,R,4.85,49.404,22.830935,17.32469,9.249355,https://en.wikipedia.org/wiki/Halloween_Kills,https://www.boxofficemojo.com/release/rl319063553,Post-COVID horror franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.5,108141,https://www.imdb.com/title/tt10665338/,66,VERIFIED,38,https://www.rottentomatoes.com/m/halloween_kills,,,,,,3727,237487,Halloween Kills,2021-10-15
Dune,2021,sci_fi,broad_adult,franchise,PG-13,5.1,41.011,17.5,13.7,8.9,https://en.wikipedia.org/wiki/Dune_%282021_film%29,https://www.boxofficemojo.com/release/rl3162015233,Post-COVID premium-format sci-fi comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,8.0,1040767,https://www.imdb.com/title/tt1160419/,90,VERIFIED,83,https://www.rottentomatoes.com/m/dune_2021,474.100,,https://www.relishmix.com/news/dune-40m-domestic-opening-is-best-for-warner-bros-hbo-max-daydate-title-amp-denis-villeneuve,RelishMix public social metrics matched from ‘Dune’ $40M+ Domestic Opening Is Best For Warner Bros HBO Max Day/Date Title & Denis Villeneuve,,4125,788999,Dune (2021 film),2021-10-22
Eternals,2021,superhero,fan_driven,franchise,PG-13,9.5,71.297,30.844219,24.124504,16.328496,https://en.wikipedia.org/wiki/Eternals_%28film%29,https://www.boxofficemojo.com/release/rl2138867201,Post-COVID superhero comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.2,426614,https://www.imdb.com/title/tt9032400/,77,VERIFIED,48,https://www.rottentomatoes.com/m/eternals,,,,,,4090,719122,Eternals (film),2021-11-05
Ghostbusters: Afterlife,2021,comedy,broad_legacy,legacy_sequel,PG-13,4.5,44.008,16.652383,16.437835,10.918188,https://en.wikipedia.org/wiki/Ghostbusters:_Afterlife,https://www.boxofficemojo.com/release/rl319391233,Post-COVID legacy sequel comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.0,240851,https://www.imdb.com/title/tt4513678/,94,VERIFIED,63,https://www.rottentomatoes.com/m/ghostbusters_afterlife,275.600,,https://www.relishmix.com/news/ghostbusters-afterlife-calls-up-45m-on-thursday-night,RelishMix public social metrics matched from ‘Ghostbusters: Afterlife’ Calls Up $44M Opening Weekend,,4315,233677,Ghostbusters: Afterlife,2021-11-19
Spider-Man: No Way Home,2021,superhero,fan_driven,franchise,PG-13,50.0,260.139,121.964712,73.941279,64.232578,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl2869659137,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,8.1,1018228,https://www.imdb.com/title/tt10872600/,97,VERIFIED,93,https://www.rottentomatoes.com/m/spider_man_no_way_home,120.000,,https://www.relishmix.com/news/spider-man-no-way-home-to-cross-666m-us-amp-sink-titanic-the-355-not-arresting-with-4m,RelishMix public social metrics matched from ‘Spider-Man: No Way Home’ To Cross $666M U.S. & Sink ‘Titanic’; ‘The 355’ Not Arresting With $4M+,,4336,2881557,Spider-Man: No Way Home,2021-12-17
Scream,2022,horror,horror_fan,franchise,R,3.5,30.018,13.383642,10.174839,6.460324,https://en.wikipedia.org/wiki/Scream_%282022_film%29,https://www.boxofficemojo.com/release/rl307200769,Post-COVID horror reboot comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,187427,https://www.imdb.com/title/tt11245972/,82,VERIFIED,76,https://www.rottentomatoes.com/m/scream_2022,145.100,,https://www.relishmix.com/news/scream-hitting-loud-pitch-with-36m-4-day-spider-man-no-way-home-surging-past-black-panther,"RelishMix public social metrics matched from ‘Scream’ Hitting Loud Pitch With $36M 4-Day, ‘Spider-Man: No Way Home’ Surging Past ‘Black Panther’",,3666,315983,Scream (2022 film),2022-01-14
Uncharted,2022,adventure,young_male,video_game,PG-13,3.7,44.011,15.376642,16.275559,12.357954,https://en.wikipedia.org/wiki/Uncharted_%28film%29,https://www.boxofficemojo.com/release/rl2977334785,Post-COVID video-game action adventure comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,299341,https://www.imdb.com/title/tt1464335/,89,VERIFIED,41,https://www.rottentomatoes.com/m/uncharted_2022,,,,,,4275,232288,Uncharted (film),2022-02-18
The Batman,2022,superhero,fan_driven,franchise,PG-13,21.6,134.009,56.608349,43.262039,34.138236,https://www.the-numbers.com/box-office-records/domestic/all-movies/previews/any,https://www.boxofficemojo.com/release/rl67732993,Post-COVID high-preview superhero comp from The Numbers preview table.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.8,925293,https://www.imdb.com/title/tt1877830/,87,VERIFIED,85,https://www.rottentomatoes.com/m/the_batman,644.100,,https://www.relishmix.com/news/the-batman-signals-another-big-return-to-moviegoing-post-spider-man-with-120m-opening-weekend,RelishMix public social metrics matched from ‘The Batman’ Signals Another Big Return To Moviegoing Post ‘Spider-Man’ With $120M+,,4417,1112700,The Batman (film),2022-03-04
The Lost City,2022,comedy,broad_adult,original,PG-13,2.5,30.454,11.531544,11.802252,7.119473,https://en.wikipedia.org/wiki/The_Lost_City_%282022_film%29,https://www.boxofficemojo.com/release/rl795706113,Post-COVID star-driven comedy adventure comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,176424,https://www.imdb.com/title/tt13320622/,83,VERIFIED,78,https://www.rottentomatoes.com/m/the_lost_city,125.300,,https://www.relishmix.com/news/the-lost-city-seeing-record-pandemic-opening-for-female-driven-comedy-with-30m,RelishMix public social metrics matched from ‘The Lost City’ Seeing Record Pandemic Opening For Female Driven Comedy With $30M,,4283,23151,The Lost City (2022 film),2022-07-01
