movie,weekend_of,forecast_cut,as_of,replay_mode,calibration_source,predicted_m,actual_m,error_m,ape,bias_pct,coverage_ratio,stage_coverage_ratio,stage_expected_days,coverage_tier,interval80_low_m,interval80_high_m,interval80_hit,model_source,snapshot_weight,seat_days,seat_theatres,daily_actual_overrides_used,model_only_replay,excluded_day_count,headline_eligible,quality_segment,quality_reasons,quality_warnings,quality_basis
Michael,2026-04-24,friday_morning,2026-04-24T10:00:00+00:00,current_model,freeze,47.435,97.0,-49.565,0.511,-0.511,0.12,1.0,Thursday,low,4.46,90.41,0,seat-primary-regression,0.0,1,374,0,0,2,1,headline_clean,,known_partial_day_exclusions,stage
Michael,2026-04-24,saturday_morning,2026-04-25T10:00:00+00:00,current_model,freeze,66.411,97.0,-30.589,0.3153,-0.3153,0.34245989304812835,0.8476,Thursday|Friday,low,18.2,114.62,1,seat-primary-regression,0.0,2,377,0,0,2,1,headline_clean,,known_partial_day_exclusions,stage
Michael,2026-04-24,sunday_morning,2026-04-26T10:00:00+00:00,current_model,freeze,55.981,97.0,-41.019,0.4229,-0.4229,0.45528535110020163,0.679,Thursday|Friday|Saturday,low,13.71,98.25,1,seat-primary-regression,0.0,3,377,0,0,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
Michael,2026-04-24,final_pre_estimate,2026-04-26T23:59:00+00:00,current_model,freeze,55.981,97.0,-41.019,0.4229,-0.4229,0.45528535110020163,0.5093,Thursday|Friday|Saturday|Sunday,low,13.71,98.25,1,seat-primary-regression,0.0,3,377,0,0,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
Michael,2026-04-24,post_regular_run,2026-04-27T10:00:00+00:00,current_model,freeze,56.251,97.0,-40.749,0.4201,-0.4201,0.6150712568306012,0.6829,Thursday|Friday|Saturday|Sunday,medium,17.82,94.68,0,seat-primary-regression,0.0,4,377,0,1,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
The Devil Wears Prada 2,2026-05-01,friday_morning,2026-05-01T10:00:00+00:00,current_model,freeze,61.502,76.747,-15.245,0.1986,-0.1986,0.1280661176470588,0.9859,Thursday,low,15.97,107.04,1,seat-primary-regression,0.0,1,419,0,0,2,1,headline_clean,,known_partial_day_exclusions,stage
The Devil Wears Prada 2,2026-05-01,saturday_morning,2026-05-02T10:00:00+00:00,current_model,freeze,71.43,76.747,-5.317,0.0693,-0.0693,0.25871303871056617,0.7285,Thursday|Friday,low,22.74,120.11,1,seat-primary-regression,0.0,2,425,0,0,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
The Devil Wears Prada 2,2026-05-01,sunday_morning,2026-05-03T10:00:00+00:00,current_model,freeze,70.434,76.747,-6.313,0.0823,-0.0823,0.3595338680258989,0.586,Thursday|Friday|Saturday,low,19.99,120.88,1,seat-primary-regression,0.0,3,425,0,0,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
The Devil Wears Prada 2,2026-05-01,final_pre_estimate,2026-05-03T23:59:00+00:00,current_model,freeze,70.577,76.747,-6.17,0.0804,-0.0804,0.40274279487532716,0.4717,Thursday|Friday|Saturday|Sunday,low,27.05,114.11,1,seat-primary-regression,0.0,3,425,0,0,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
The Devil Wears Prada 2,2026-05-01,post_regular_run,2026-05-04T10:00:00+00:00,current_model,freeze,66.134,76.747,-10.613,0.1383,-0.1383,0.5827083478165036,0.6463,Thursday|Friday|Saturday|Sunday,low,30.7,101.57,1,seat-primary-regression,0.0,4,425,0,1,2,0,excluded,low_coverage,known_partial_day_exclusions,stage
