weekend_of,movie_title,date,day_of_week,n_showings,n_theatres,sample_capacity,sample_seats_sold,sample_occupancy,timezone_coverage_ratio,theatre_coverage_ratio,coverage_tier,avg_showings_per_theatre,earliest_showtime_hour,latest_showtime_hour,has_morning,has_afternoon,has_evening,has_late,ET_theatres,missing_timezone_ET,CT_theatres,missing_timezone_CT,PT_theatres,missing_timezone_PT
2026-04-24,Michael,2026-04-23,Thursday,2215,374,370136,99453,0.2687,0.8759,0.8759,high,5.922,17.0,23.0,0,0,1,1,195,0,113,0,66,0
2026-04-24,Michael,2026-04-24,Friday,2005,260,313860,165489,0.5273,0.6089,0.6089,medium,7.712,17.0,23.0,0,0,1,1,114,0,80,0,66,0
2026-04-24,Michael,2026-04-25,Saturday,1154,260,173797,77171,0.444,0.6089,0.6089,medium,4.438,18.08,23.0,0,0,1,1,195,0,0,1,65,0
2026-04-24,Michael,2026-04-26,Sunday,2442,375,396318,132338,0.3339,0.8782,0.8782,high,6.512,17.0,23.0,0,0,1,1,194,0,115,0,66,0
2026-04-24,Michael,2026-04-27,Monday,1762,310,293348,56320,0.192,0.726,0.726,medium,5.684,17.0,23.0,0,0,1,1,196,0,114,0,0,1
2026-04-24,Michael,2026-04-28,Tuesday,2306,371,378185,121295,0.3207,0.8689,0.8689,high,6.216,17.0,23.0,0,0,1,1,194,0,111,0,66,0
2026-04-24,Michael,2026-04-29,Wednesday,2108,378,346098,87654,0.2533,0.8852,0.8852,high,5.577,17.0,23.0,0,0,1,1,197,0,115,0,66,0
2026-05-01,The Devil Wears Prada 2,2026-04-30,Thursday,2912,419,419315,128114,0.3055,0.9813,0.9813,high,6.95,17.0,23.0,0,0,1,1,213,0,127,0,79,0
2026-05-01,The Devil Wears Prada 2,2026-05-01,Friday,2299,285,331174,150542,0.4546,0.6674,0.6674,medium,8.067,17.0,23.0,0,0,1,1,212,0,0,1,73,0
2026-05-01,The Devil Wears Prada 2,2026-05-02,Saturday,2077,260,300477,119050,0.3962,0.6089,0.6089,medium,7.988,17.0,23.0,0,0,1,1,181,0,0,1,79,0
2026-05-01,The Devil Wears Prada 2,2026-05-03,Sunday,2884,424,427998,93524,0.2185,0.993,0.993,high,6.802,17.0,23.0,0,0,1,1,215,0,127,0,82,0
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,1233,410,208355,47642,0.2287,0.9602,0.9602,high,3.007,17.0,23.0,0,0,1,1,209,0,119,0,82,0
2026-05-08,Mortal Kombat II,2026-05-08,Friday,1989,423,347752,119364,0.3432,0.9906,0.9906,high,4.702,17.0,23.0,0,0,1,1,216,0,126,0,81,0
2026-05-08,Mortal Kombat II,2026-05-09,Saturday,1978,422,340472,99416,0.292,0.9883,0.9883,high,4.687,17.0,23.0,0,0,1,1,215,0,127,0,80,0
2026-05-08,Mortal Kombat II,2026-05-10,Sunday,1855,424,317494,53136,0.1674,0.993,0.993,high,4.375,15.75,23.0,0,1,1,1,216,0,126,0,82,0
2026-05-08,The Sheep Detectives,2026-05-07,Thursday,380,286,34185,3729,0.1091,0.6698,0.6698,medium,1.329,18.75,23.0,0,0,1,1,196,0,90,0,0,1
2026-05-08,The Sheep Detectives,2026-05-08,Friday,878,409,80229,24766,0.3087,0.9578,0.9578,high,2.147,17.0,23.0,0,0,1,1,210,0,121,0,78,0
2026-05-08,The Sheep Detectives,2026-05-09,Saturday,895,408,81383,27728,0.3407,0.9555,0.9555,high,2.194,17.0,23.0,0,0,1,1,209,0,122,0,77,0
2026-05-08,The Sheep Detectives,2026-05-10,Sunday,893,409,81089,20525,0.2531,0.9578,0.9578,high,2.183,15.75,23.0,0,1,1,1,209,0,121,0,79,0
2026-05-15,In the Grey,2026-05-15,Friday,515,242,45423,8278,0.1822,0.5667,0.5667,medium,2.128,17.0,23.0,0,0,1,1,174,0,0,1,68,0
2026-05-15,In the Grey,2026-05-16,Saturday,770,358,67159,10460,0.1557,0.8384,0.8384,medium,2.151,15.83,23.0,0,1,1,1,176,0,114,0,68,0
2026-05-15,In the Grey,2026-05-17,Sunday,984,355,85587,10246,0.1197,0.8314,0.8314,medium,2.772,10.0,23.0,1,1,1,1,174,0,113,0,68,0
2026-05-15,Obsession,2026-05-14,Thursday,1016,404,126602,39045,0.3084,0.9461,0.9461,high,2.515,17.0,23.0,0,0,1,1,206,0,123,0,75,0
2026-05-15,Obsession,2026-05-15,Friday,951,284,114082,55476,0.4863,0.6651,0.6651,medium,3.349,17.0,23.0,0,0,1,1,207,0,0,1,77,0
2026-05-15,Obsession,2026-05-16,Saturday,1469,410,173122,76355,0.441,0.9602,0.9602,high,3.583,15.58,23.0,0,1,1,1,209,0,124,0,77,0
2026-05-15,Obsession,2026-05-17,Sunday,2178,410,254216,93252,0.3668,0.9602,0.9602,high,5.312,10.0,23.0,1,1,1,1,209,0,124,0,77,0
