weekend_of,movie_title,show_date,day_of_week,theatre_name,timezone,showtime,showtime_id,snapshot_time,final_check_time,minutes_to_showtime,capacity,snapshot_reserved_seats,snapshot_occupancy,final_seats_sold,final_occupancy,pickup_seats,pickup_ratio
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Barton Creek Square 14,CT,9:00pm,142203658,2026-05-07T03:32:10.427885+00:00,2026-05-08T07:40:53.625422+00:00,1047.83,236,40,0.1695,54,0.2288,14,1.35
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Barton Creek Square 14,CT,10:15pm,142203674,2026-05-07T03:32:10.427885+00:00,2026-05-08T07:40:53.625422+00:00,1122.83,123,32,0.2602,37,0.3008,5,1.1562
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Barton Creek Square 14,CT,8:15pm,142203709,2026-05-07T03:32:10.427885+00:00,2026-05-08T07:40:53.625422+00:00,1002.83,61,15,0.2459,19,0.3115,4,1.2667
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Baton Rouge 16,CT,9:00pm,142135533,2026-05-07T03:32:38.966312+00:00,2026-05-08T07:40:53.626325+00:00,1047.35,228,3,0.0132,19,0.0833,16,6.3333
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Baton Rouge 16,CT,10:00pm,142135539,2026-05-07T03:32:38.966312+00:00,2026-05-08T07:40:53.626325+00:00,1107.35,177,20,0.113,30,0.1695,10,1.5
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Baton Rouge 16,CT,8:00pm,142135484,2026-05-07T03:32:38.966312+00:00,2026-05-08T07:40:53.626325+00:00,987.35,89,3,0.0337,6,0.0674,3,2.0
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Boerne 11,CT,9:00pm,142680604,2026-05-07T03:33:09.245890+00:00,2026-05-08T07:40:53.629767+00:00,1046.85,128,19,0.1484,38,0.2969,19,2.0
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Burleson 14,CT,9:05pm,142159484,2026-05-07T03:33:30.047538+00:00,2026-05-08T07:41:18.765755+00:00,1051.5,90,31,0.3444,57,0.6333,26,1.8387
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Champaign 13,CT,10:00pm,142764370,2026-05-07T03:33:49.835717+00:00,2026-05-08T07:41:23.623597+00:00,1106.17,539,0,0.0,6,0.0111,6,
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Champaign 13,CT,9:30pm,142976523,2026-05-07T03:33:49.835717+00:00,2026-05-08T07:41:23.623597+00:00,1076.17,201,0,0.0,0,0.0,0,
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Champaign 13,CT,9:00pm,142976511,2026-05-07T03:33:49.835717+00:00,2026-05-08T07:41:23.623597+00:00,1046.17,201,0,0.0,3,0.0149,3,
2026-05-08,Mortal Kombat II,2026-05-07,Thursday,AMC Chantilly 13,CT,9:00pm,142944605,2026-05-07T03:34:19.886729+00:00,2026-05-08T07:41:26.030042+00:00,1045.67,120,0,0.0,15,0.125,15,
