weekend_of,run_id,snapshot_time,snapshot_bucket,show_date,day_of_week,theatre_name,theatre_city,timezone,movie_title,showtime,showtime_id,minutes_until_showtime,auditorium_name,auditorium_type,total_seats,reserved_seats,available_seats,occupancy_pct,delta_reserved_since_previous,amc_seat_map_url,notes
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.702784+00:00,2026-08-27T04:00Z,2026-08-27,Thursday,AMC Barton Creek Square 14,,CT,Coyote vs. Acme,10:15pm,145472110,1378,,,45,1,44,2.2,,https://www.amctheatres.com/showtimes/145472110/seats,Unknown format @ 10:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.702784+00:00,2026-08-27T04:00Z,2026-08-27,Thursday,AMC Barton Creek Square 14,,CT,Coyote vs. Acme,8:15pm,145472116,1258,,,45,30,15,66.7,,https://www.amctheatres.com/showtimes/145472116/seats,Unknown format @ 8:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.702784+00:00,2026-08-27T04:00Z,2026-08-27,Thursday,AMC Barton Creek Square 14,,CT,Coyote vs. Acme,5:30pm,145472115,1093,,,45,22,23,48.9,,https://www.amctheatres.com/showtimes/145472115/seats,Unknown format @ 5:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:16.907872+00:00,2026-08-27T04:00Z,2026-08-30,Sunday,AMC Creve Coeur 12,,CT,Coyote vs. Acme,9:15pm,145303955,5638,,,60,0,60,0,,https://www.amctheatres.com/showtimes/145303955/seats,Unknown format @ 9:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:16.907872+00:00,2026-08-27T04:00Z,2026-08-30,Sunday,AMC Creve Coeur 12,,CT,Coyote vs. Acme,6:30pm,145303954,5473,,,60,6,54,10,,https://www.amctheatres.com/showtimes/145303954/seats,Unknown format @ 6:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:16.907872+00:00,2026-08-27T04:00Z,2026-08-30,Sunday,AMC Creve Coeur 12,,CT,Coyote vs. Acme,3:45pm,145303956,5308,,,60,14,46,23.3,,https://www.amctheatres.com/showtimes/145303956/seats,Unknown format @ 3:45pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:16.907872+00:00,2026-08-27T04:00Z,2026-08-30,Sunday,AMC Creve Coeur 12,,CT,Coyote vs. Acme,1:00pm,145303957,5143,,,60,11,49,18.3,,https://www.amctheatres.com/showtimes/145303957/seats,Unknown format @ 1:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:16.907872+00:00,2026-08-27T04:00Z,2026-08-30,Sunday,AMC Creve Coeur 12,,CT,Coyote vs. Acme,12:00pm,146418940,5083,,,115,2,113,1.7,,https://www.amctheatres.com/showtimes/146418940/seats,Unknown format @ 12:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.702443+00:00,2026-08-27T04:00Z,2026-08-28,Friday,AMC Burleson 14,,CT,Coyote vs. Acme,10:15pm,146327000,2818,,Laser at AMC,51,1,50,2,,https://www.amctheatres.com/showtimes/146327000/seats,Laser at AMC @ 10:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.702443+00:00,2026-08-27T04:00Z,2026-08-28,Friday,AMC Burleson 14,,CT,Coyote vs. Acme,7:30pm,145495403,2653,,Laser at AMC,51,10,41,19.6,,https://www.amctheatres.com/showtimes/145495403/seats,Laser at AMC @ 7:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:28.837027+00:00,2026-08-27T04:00Z,2026-08-27,Thursday,AMC Burleson 14,,CT,Coyote vs. Acme,7:30pm,145495406,1213,,Laser at AMC,51,11,40,21.6,,https://www.amctheatres.com/showtimes/145495406/seats,Laser at AMC @ 7:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.712139+00:00,2026-08-27T04:00Z,2026-08-29,Saturday,AMC Council Bluffs 17,,CT,Coyote vs. Acme,12:15pm,146499532,3658,,Dolby Cinema at AMC,122,14,108,11.5,,https://www.amctheatres.com/showtimes/146499532/seats,Dolby Cinema at AMC @ 12:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.712139+00:00,2026-08-27T04:00Z,2026-08-29,Saturday,AMC Council Bluffs 17,,CT,Coyote vs. Acme,10:00pm,145291943,4243,,,112,1,111,0.9,,https://www.amctheatres.com/showtimes/145291943/seats,Unknown format @ 10:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-08-28,20260826-231703-2d8334,2026-08-27T04:17:07.712139+00:00,2026-08-27T04:00Z,2026-08-29,Saturday,AMC Council Bluffs 17,,CT,Coyote vs. Acme,7:15pm,145291944,4078,,,112,17,95,15.2,,https://www.amctheatres.com/showtimes/145291944/seats,Unknown format @ 7:15pm (saved link); showtime_window=sat-sun-10-23-v1
