weekend_of,as_of_date,movie_title,rt_audience_score,rt_critic_score,imdb_rating,source,notes
2026-06-26,2026-06-26,Supergirl,77,57,5.9,imdb+rottentomatoes,https://www.imdb.com/title/tt8814476/
2026-06-26,2026-06-26,Jackass: Best and Last,86,88,,imdb+rottentomatoes,https://www.rottentomatoes.com/m/jackass_best_and_last
2026-06-26,2026-06-27,Jackass: Best and Last,,,7.0,imdb+rottentomatoes,https://www.imdb.com/title/tt39316472/
2026-06-26,2026-06-27,Supergirl,,,6.0,imdb+rottentomatoes,https://www.imdb.com/title/tt8814476/
2026-06-26,2026-06-28,Jackass: Best and Last,,,6.9,imdb+rottentomatoes,https://www.imdb.com/title/tt39316472/
2026-06-26,2026-06-28,Supergirl,,,6.1,imdb+rottentomatoes,https://www.imdb.com/title/tt8814476/
2026-06-26,2026-06-29,Jackass: Best and Last,,,6.9,imdb+rottentomatoes,https://www.imdb.com/title/tt39316472/
2026-06-26,2026-06-29,Supergirl,,,6.1,imdb+rottentomatoes,https://www.imdb.com/title/tt8814476/
2026-07-03,2026-07-03,Minions & Monsters,,,6.5,imdb+rottentomatoes,https://www.imdb.com/title/tt32890033/
2026-07-03,2026-07-04,Minions & Monsters,,,6.6,imdb+rottentomatoes,https://www.imdb.com/title/tt32890033/
2026-07-03,2026-07-04,Young Washington,,,5.8,imdb+rottentomatoes,https://www.imdb.com/title/tt32104007/
2026-07-03,2026-07-05,Minions & Monsters,,,6.6,imdb+rottentomatoes,https://www.imdb.com/title/tt32890033/
2026-07-03,2026-07-05,Young Washington,,,6.8,imdb+rottentomatoes,https://www.imdb.com/title/tt32104007/
2026-07-03,2026-07-06,Minions & Monsters,,,6.6,imdb+rottentomatoes,https://www.imdb.com/title/tt32890033/
2026-07-03,2026-07-06,Young Washington,,,7.2,imdb+rottentomatoes,https://www.imdb.com/title/tt32104007/
