weekend_of,run_id,date,day_of_week,theatre_name,theatre_city,timezone,movie_title,polymarket_market,showtime,check_time,minutes_after_showtime,auditorium_name,auditorium_type,total_seats,seats_sold,seats_available,occupancy_pct,amc_seat_map_url,notes
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,10:00pm,2026-09-18T08:30:45.970083+00:00,330,,IMAX with Laser at AMC,356,36,320,10.1,https://www.amctheatres.com/showtimes/146586896/seats,IMAX with Laser at AMC @ 10:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,7:15pm,2026-09-18T08:30:45.970083+00:00,495,,IMAX with Laser at AMC,356,91,265,25.6,https://www.amctheatres.com/showtimes/146586895/seats,IMAX with Laser at AMC @ 7:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,9:00pm,2026-09-18T08:30:45.970083+00:00,390,,Dolby Cinema at AMC,166,80,86,48.2,https://www.amctheatres.com/showtimes/146586892/seats,Dolby Cinema at AMC @ 9:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,6:15pm,2026-09-18T08:30:45.970083+00:00,555,,Dolby Cinema at AMC,166,93,73,56,https://www.amctheatres.com/showtimes/146586891/seats,Dolby Cinema at AMC @ 6:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,9:30pm,2026-09-18T08:30:45.970083+00:00,360,,Laser at AMC,67,15,52,22.4,https://www.amctheatres.com/showtimes/146586953/seats,Laser at AMC @ 9:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,8:15pm,2026-09-18T08:30:45.970083+00:00,435,,Laser at AMC,105,17,88,16.2,https://www.amctheatres.com/showtimes/146586968/seats,Laser at AMC @ 8:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,6:45pm,2026-09-18T08:30:45.970083+00:00,525,,Laser at AMC,67,19,48,28.4,https://www.amctheatres.com/showtimes/146586952/seats,Laser at AMC @ 6:45pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Woodlands Square 20,Houston,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,5:30pm,2026-09-18T08:30:45.970083+00:00,600,,Laser at AMC,105,12,93,11.4,https://www.amctheatres.com/showtimes/146586969/seats,Laser at AMC @ 5:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,9:30pm,2026-09-18T08:30:45.962860+00:00,360,,IMAX with Laser at AMC,164,66,98,40.2,https://www.amctheatres.com/showtimes/146412860/seats,IMAX with Laser at AMC @ 9:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,6:45pm,2026-09-18T08:30:45.962860+00:00,525,,IMAX with Laser at AMC,164,109,55,66.5,https://www.amctheatres.com/showtimes/146412859/seats,IMAX with Laser at AMC @ 6:45pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,10:15pm,2026-09-18T08:30:45.962860+00:00,315,,Dolby Cinema at AMC,241,29,212,12,https://www.amctheatres.com/showtimes/146412836/seats,Dolby Cinema at AMC @ 10:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,7:30pm,2026-09-18T08:30:45.962860+00:00,480,,Dolby Cinema at AMC,241,72,169,29.9,https://www.amctheatres.com/showtimes/146412835/seats,Dolby Cinema at AMC @ 7:30pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,9:45pm,2026-09-18T08:30:45.962860+00:00,345,,PRIME at AMC,171,5,166,2.9,https://www.amctheatres.com/showtimes/146412775/seats,PRIME at AMC @ 9:45pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,7:00pm,2026-09-18T08:30:45.962860+00:00,510,,PRIME at AMC,171,30,141,17.5,https://www.amctheatres.com/showtimes/147161949/seats,PRIME at AMC @ 7:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,9:00pm,2026-09-18T08:30:45.962860+00:00,390,,Laser at AMC,235,2,233,0.9,https://www.amctheatres.com/showtimes/147161966/seats,Laser at AMC @ 9:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,8:00pm,2026-09-18T08:30:45.962860+00:00,450,,Laser at AMC,122,3,119,2.5,https://www.amctheatres.com/showtimes/146412900/seats,Laser at AMC @ 8:00pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,6:15pm,2026-09-18T08:30:45.962860+00:00,555,,Laser at AMC,235,0,235,0,https://www.amctheatres.com/showtimes/147161965/seats,Laser at AMC @ 6:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,5:15pm,2026-09-18T08:30:45.962860+00:00,615,,Laser at AMC,122,14,108,11.5,https://www.amctheatres.com/showtimes/146412899/seats,Laser at AMC @ 5:15pm (saved link); showtime_window=sat-sun-10-23-v1
2026-09-18,20260918-033037-f58cea,2026-09-17,Thursday,AMC Barrywoods 24,Kansas City,CT,Resident Evil,https://polymarket.com/event/resident-evil-opening-weekend-box-office,8:30pm,2026-09-18T08:30:45.962860+00:00,420,,4DX at AMC,130,57,73,43.8,https://www.amctheatres.com/showtimes/146412804/seats,4DX at AMC @ 8:30pm (saved link); showtime_window=sat-sun-10-23-v1
